Company,City,Addrs,zip,lat,lng
Schwendinger Brennstoffe Gmbh,Kempten (Allgäu), 87561 Oberstdorf,87561,47.408561,10.275793
Geigertechnikgesellschaftmitbeschrankterhaftung,Garmisch-Partenkirchen, Breitenau Pf 1354 82467 Garmisch-partenkirchen,82467,47.492343,11.086231
Alpin Chemie Gmbh,Kempten (Allgäu), Hindelanger Str. 29 87527 Sonthofen,87527,47.495737,10.238323
Sanosil-service Gmbh,Garmisch-Partenkirchen, Ettaler Str. 4 82490 Farchant,82490,47.530252,11.112124
Avendris Gmbh,Lörrach, Gewerbestr. 18 79639 Grenzach-wyhlen,79639,47.552781,7.66112
Dsm Nutritional Products Gmbh,Lörrach, Emil-barell-str. 3 79639 Grenzach-wyhlen,79639,47.552781,7.66112
Gp Grenzach Produktions Gmbh,Lörrach, Emil-barell-str. 7 79639 Grenzach-wyhlen,79639,47.552781,7.66112
Pentol Gmbh,Lörrach, Degussaweg 1 206 79639 Grenzach-wyhlen,79639,47.552781,7.66112
Probst Gmbh,Lörrach, 79639 Grenzach-wyhlen,79639,47.552781,7.66112
Roche Pharma Ag,Lörrach, Emil-barell-str. 1 Pf 1270 79639 Grenzach-wyhlen,79639,47.552781,7.66112
Separtis Gmbh,Lörrach, Basler Str. 29 79639 Grenzach-wyhlen,79639,47.552781,7.66112
Rmc Remacon Gmbh Produkte Fur Elektrothermische...,Freiburg, Steinbruckstr. 1 79713 Bad Sackingen,79713,47.554429,7.94744
Geba Produktion Und Logistik Gmbh,Rheinfelden (Baden), Dr.-rudolf-eberle-str. 36 79774 Albbruck,79774,47.55924,7.78433
Louis Widmer Gmbh,Freiburg, Grosmattstr. 11 Pf 1266 79618 Rheinfelden (Baden),79618,47.55924,7.78433
R. Spaene Gmbh Produktion,Freiburg, Schafmatt 5 79618 Rheinfelden,79618,47.55924,7.78433
Silikon-technik Lothar Merz Gmbh,Kempten (Allgäu), Jakob-lang-str. 12 88171 Weiler-simmerberg Bayern,88171,47.5864,9.94414
Begapinol Dr. Schmidt Gmbh,Traunstein, Gartenau 11 83471 Berchtesgaden,83471,47.593153,12.978581
Franz Schnurrer e.k,Traunstein, Salinenplatz 2 83471 Berchtesgaden,83471,47.593153,12.978581
Bachem Distribution Services Gmbh,Lörrach, Hegenheimer Str. 5 79576 Weil Am Rhein,79576,47.594406,7.629688
Gattefosse Deutschland Gmbh,Lörrach, Hauptstr. 435 79576 Weil Am Rhein,79576,47.594406,7.629688
Hofer Maschinen & Werkzeuge Gmbh,Lörrach, Domhofstr. 8 2149 79576 Weil Am Rhein,79576,47.594406,7.629688
Tfl Ledertechnik Gmbh,Lörrach, Im Schwarzenbach 2 79576 Weil Am Rhein Baden-wuerttemberg,79576,47.594406,7.629688
Privates Untersuchungsinstitut Heppeler Gmbh,Freiburg, Marie-curie-str. 7 79540 Lorrach,79540,47.602873,7.659014
Midro Lorrach Gmbh,Freiburg, Barenfelser Str. 7 79539 Lorrach,79539,47.614995,7.668439
Steigenberger Energie Gmbh,Rosenheim, 83088 Kiefersfelden,83088,47.61611,12.18791
Albrecht Gmbh,Singen, Dorfstr. 2a 79807 Lottstetten,79807,47.626923,8.572057
Durol Gmbh & Co. Kg Chemische Fabrik...,Friedrichshafen, Bregenzer Str. 101 88131 Lindau (Bodensee),88131,47.6289,9.45954
K & M Zerspanung Prazisionstechnik in Kunststoff...,Friedrichshafen, Wolpertswender Str. 14 88273 Fronreute,88273,47.6289,9.45954
Pro Ion Plasmanitrier Technologie Gmbh,Friedrichshafen, Wolpertswender Str. 16 88273 Fronreute,88273,47.6289,9.45954
Schuster Chemie Gmbh & Co. Kg.,Friedrichshafen, Robert-bosch-str. 31 88131 Lindau,88131,47.6289,9.45954
Schuster-chemie Gmbh & Co. Kg,Friedrichshafen, 88131 Lindau,88131,47.6289,9.45954
Sito International Gmbh & Co. Kg,Friedrichshafen, Leiblachstr. 6-8 88145 Opfenbach,88145,47.6289,9.45954
Troll Cosmetic Gmbh,Friedrichshafen, Zechwaldstr. 1 Pf 9265 88131 Lindau,88131,47.6289,9.45954
Troll Cosmetics Gmbh,Friedrichshafen, 88131 Lindau,88131,47.6289,9.45954
Wema Werkzeug- Und Maschinenbau Gmbh,Friedrichshafen, Lehmgrubenweg 17 3429 88131 Lindau,88131,47.6289,9.45954
Hermann Gehring Gmbh Mineraloelvertrieb Und Gtw...,Freiburg, Im Entenbad 2a 79541 Lorrach,79541,47.635156,7.693428
Kuhs Gmbh,Freiburg, Lingertstr. 3 79541 Lorrach,79541,47.635156,7.693428
g.a.b. Neumann Gmbh.,Freiburg, Alemannenstr. 29 79689 Maulburg,79689,47.640864,7.778009
Deglmann Energie Gmbh & Co. Kg,Amberg, Hinterm Rangierbahnhof 24 92637 Weiden i.d.opf.,92637,47.64347,10.60509
Ekatoruhr-undmischtechnikgmbh,Freiburg, Kappelemattweg 2 Pf 1110 79650 Schopfheim,79650,47.650154,7.822785
"August Belz, Apparatebau Gmbh",Konstanz, Mottelistr. 11 Pf 1225 88045 Friedrichshafen,88045,47.66194,9.17243
Bch Chemikalienhandel Gmbh,Konstanz, 88356 Ostrach,88356,47.66194,9.17243
Bilgram Chemikalien Gmbh,Konstanz, Torfweg 4 88356 Ostrach,88356,47.66194,9.17243
Bilgram & Co. Gmbh,Konstanz, Torfweg 4 88356 Ostrach,88356,47.66194,9.17243
Dentsply De Trey Gmbh,Konstanz, De-trey-str. 01 100442 78467 Konstanz,100442,47.66194,9.17243
Farben-sigel Gmbh,Konstanz, Robert-bosch-str. 8 Pf 2126 88214 Ravensburg,88214,47.66194,9.17243
Peter Schulze Kunststofftechnik Gmbh,Konstanz, Bildstock 23 88085 Langenargen Baden-wuerttemberg,88085,47.66194,9.17243
Sonett Ohg,Konstanz, Ziegeleiweg 5 88693 Deggenhausertal,88693,47.66194,9.17243
Theo Krebs Ag,Konstanz, Robert-bosch-str. 2 88677 Markdorf,88677,47.66194,9.17243
Asp Kunststoff- Und Elastomertechnik Gmbh & Co. Kg,Kempten (Allgäu), Oberhaeuser 3 88167 Rothenbach,88167,47.664782,10.022064
Bioplant Naturverfahren Gmbh,Konstanz, Carl-benz-str. 4 78467 Konstanz,78467,47.66731,9.17912
Gatc Biotech Ag,Konstanz, Jakob-stadler-platz 7 78467 Konstanz,78467,47.66731,9.17912
Hauff-schreibgeraete Gmbh,Konstanz, Karlsruher Str. 31 78467 Konstanz,78467,47.66731,9.17912
Ley Mineralol Gmbh,Konstanz, Rudolf-diesel-str. 10 78467 Konstanz,78467,47.66731,9.17912
Nycomed Gmbh,Konstanz, Byk-gulden-str. 2 Pf 10 01 52 78467 Konstanz,78467,47.66731,9.17912
Regenaplex Gmbh Homoopatische Heilmittel,Konstanz, Robert-bosch-str. 3 78467 Konstanz,78467,47.66731,9.17912
Saerdna Gmbh Chemisch-technische Produkte,Konstanz, Reisstr. 5 78467 Konstanz,78467,47.66731,9.17912
Gaplast Gesellschaft Fuer Kunststoffverarbeitung...,Landsberg am Lech, Wurmansauer Str. 22 82442 Saulgrub,82442,47.669284,11.025506
Jura Pharmazeutische Fabrik Gollwitzer Kg,Konstanz, Nestgasse 2-6 78464 Konstanz,78464,47.680653,9.203353
Vita-horm r.scherek Gmbh & co.kg,Konstanz, Alpsteinweg 9 78464 Konstanz,78464,47.680653,9.203353
Dr. Block Frischzellen Forschungslabor Gmbh,Geretsried, Brauneckstr. 6 83661 Lenggries,83661,47.682859,11.576171
Mogema Gmbh & co.kg,Friedrichshafen, Bindstr. 47 88239 Wangen,88239,47.685618,9.832417
Madame Nanette Cosmetic Gmbh,Traunreut, Auenstr. 40 83458 Schneizlreuth,83458,47.69089,12.799982
Zellaerosol Gmbh,Freiburg, Wiesenstr. 13 Pf 1126 79669 Zell,79669,47.70765,7.852063
Fiba Gmbh & Co. Kg,Rosenheim, Bahnhofstr. 7-11 Pf 1144 83684 Tegernsee,83684,47.70855,11.756913
Tegernseer Erdgasversorgungsgesellschaft Mbh &...,Rosenheim, 83684 Tegernsee,83684,47.70855,11.756913
Nails & More,Kempten (Allgäu), Fischersteige 7 87435 Kempten,87435,47.711693,10.299682
"Pharmos Natur Kosmetik, Lebens- Und Heilmittel...",Landsberg am Lech, 82449 Uffing,82449,47.713964,11.151178
Druckfarben Kandern Gmbh,Freiburg, Hauptstr. 82 79400 Kandern,79400,47.714334,7.661035
Meco Energie-kollektoren Gmbh,Konstanz, Radolfzeller Str. 56 78476 Allensbach,78476,47.716324,9.07074
Frisch Labor Systems Gmbh,Kempten (Allgäu), Lenzhalde 4 88179 Oberreute,88179,47.72394,10.31105
Karl Waibel & Sohn E. K.,Kempten (Allgäu), Ostrachstr. 45 87541 Hindelang,87541,47.72394,10.31105
Mitschke Gmbh & Co. Kunststoffwerk Kg,Kempten (Allgäu), Birkenstr. 3 87653 Eggenthal,87653,47.72394,10.31105
Primavera Life Gmbh,Kempten (Allgäu), Am Fichtenholz 5 87477 Sulzberg,87477,47.72394,10.31105
Josef Mack Gmbh & Co. Kg,Traunreut, 83435 Bad Reichenhall,83435,47.72779,12.878293
Josef Mack Gmbh & Co Kg,Traunreut, Anton-winkler-str. 7 83435 Bad Reichenhall,83435,47.72779,12.878293
Unisan Vertriebsges. Mbh,Konstanz, Martin-schleyer-str. 28 78465 Konstanz,78465,47.734409,9.116933
Cowa Chemische Fabrikation Gmbh,Villingen-Schwenningen, Industriepark 206 78244 Gottmadingen,78244,47.73503,8.777025
