Job Title,Company Name,Company City,Job Summary,Date Posted,Day extracted,Job id,Job Url,lat,lng,admin_name,capital,population,Job_desc
Trainee (m/w/d) Chemical Engineering - Career Development Program,Hexion Inc.,Duisburg,"Have no more than 2 years of working experience in the chemical industry.
Through high performance team work our engineers deliver solutions that continually…",30,4/2/21,recJobLoc_0e8cc597234c9cec,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DvTGQEdouFXfW1YQW6wcqcjw0yLtg6_84KUJskAj4WIu8xv8KNKoMKQPUMyn8gwnxELlheQSQNZi-FEw477GeZiH6zF3H1_TF9HoUIR_BbxN0oLYpyywRT9hDtguzfWdILZXt_8gVWVCGZhRZXAIn3_QxguDks0HhALanuuNJNz8MuO7FvZA-pNNxrK7ZPl2xuL-T3PquZOnYwQsVMtpAxAewT2oIp5Ugzqg5NWYGaKoz9aoicldX3gJk0WexnvW8GCfXzn3o21cdWWCEQbx4IOKKUunk1g3X8R-IL5iK5PCd4Ygvs0Z_wNSL7daAVZKFlwroVjqFR4aXzo4nD6ehrmEYUK4N4qCEpvz0k76BorUQt8m6sRFOwn3RCbVTS_ybr04mdBh1TJ3RwG_bHSon8gRrxSi3DJUr6uv0cISWXUn-Ssu4gR1aKUST28DERWNrqqHWlYGiCGQXNvCD1FVdbQYs_4ImT3aywLNnAW5uEradXO7_AHSPaF_0rJ1e1P1BgE7x_CbHma5bkN_yoQMItge14lI7xceCV2dKryyWHQOBw-iUmgQN1qF5XVMXAtDjsIZa0fKLi_-3R0HrAkaVnd0RNfJeh52s=&p=0&fvj=0&vjs=3,51.4322,6.7611,North Rhine-Westphalia,minor,498590,"Production,Manufacturing,Projects &amp; Engineering,Continual Improvement/Six Sigma,Process Controls,Process Improvement,Environmental Health/Safety,Supply Chain,Delivering breakthrough solutions,Monitoring and developing improvements to current processes to yield cost savings, quality improvement and/or overall increase efficiency,Continuously strive for highest level of performance,Doing everything with your personal safety mindset at the forefront of your work,Adding value for our customers,Master of Science in Chemical Engineering,Must be in good academic standing,Very good German and English language knowledge,Have no more than 2 years of working experience in the chemical industry"
Market Research Analyst m/w/d,Carter Murray,Düsseldorf,"Very good technical understanding, preferably in plastic, polymers, chemical.
Our client produces 3D engineering material that delivers energy absorption with…",1,4/2/21,recJobLoc_d43a14586981132a,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DvtaD4TpXsAjtI3bRwXx3wZDKz7_yDxCVhDockTe1Lamo0X5tSDmyJsiM_u8xVh5fNp5z0BmSYtpGQyIzBgTgIwJYC6uwftqm05JJDclZOHwUj7UL-T257l1UxnWF2IFYIa9iLaLYsV3ZyEDSui0EJIIC24-QENO-FlXiBXqkURaqDiSRdtgHz0dNyL_mGmbIy3cHJ-QTByXAdcnWQIZ8cqkTQGH2G46O-kDUI1m4MWF5bgHohDJIE1BLpG8BAOJ7qAG_mC5rAzylj_anat_AYlBJ3WM0UwtXN2HvASDFADtCPV9Q57i6_ZXj4WsCFT6G87f3nIuPfbPGbTPDr0XuSmHBmqCiIGoPMWZTNsWkXrhP5xmxEOIPRXXIF5xZDG-VsZZIiSDZZ_b9_e6tkMYt_HdYW8yvp4Dy6u_5o6OqBEDV-VHFJs7ksxMPsXVkhZW3L7dXZ1mLEezt8I44iRcmLMrHbeL-1Mj7ulclnZJeBPw==&p=1&fvj=0&vjs=3,51.2311,6.7724,North Rhine-Westphalia,admin,619294,"Measure the actual market and consumer trends,Identify new market opportunities,Stay connected with the market and assigned projects by joining and participating in customer activities,Reinforce the brand success internally and externally,Organize and attend customer activities: events, exhibitions, conferences.,Websites, SEO, Social media, press relationship
,2 to 5 years experience in a similar industry or sector,Very good technical understanding, preferably in plastic, polymers, chemical,Track record of polymer technical sales / marketing projects with or to automotive OEMs is a benefit,Excellent analytical, planning and organizational skills,German <b>and</b> English is mandatory,Willingness to travel in Europe (up to 50% of the working time)"
BASF “GROW” Graduate Program –Marketing,BASF,Krefeld,"We are a leading chemical company, with the best teams developing intelligent solutions for our customers and for a sustainable future.",30,4/2/21,recJobLoc_c5ac86dd7e47d03a,https://de.indeed.com/rc/clk?jk=c5ac86dd7e47d03a&fccid=38313780e9822361&vjs=3,51.3333,6.5667,North Rhine-Westphalia,minor,227020,
Graduate Employment Opportunities - Germany 2021,Shell,Hamburg,"Are you in the final year of your studies or graduated within the last three years?
The Shell Graduate Program is designed to offer graduates training,…",30,4/2/21,recJobLoc_6249d93ffd5f4bd5,https://de.indeed.com/rc/clk?jk=6249d93ffd5f4bd5&fccid=167aa4ca2fe7d8e6&vjs=3,53.55,10,Hamburg,admin,1841179,"Networking, Coaching and Mentoring relationships,Learning curriculum (training, e-learning modules, accreditation),Capacity: We’re looking for people with the intellectual, analytical, and creative ability to learn quickly, identify issues and propose innovative solutions.,Achievement: We are seeking driven high-achievers full of curiosity, self-confidence and organizational skills.,Relationship: We need strong communicators who work well within a team, respect others and encourage and support colleagues."
Graduate Mechanical/Chemical Engineer - Germany,Air Products,Berlin,"Our European Graduate Programme is a strategic investment into our future leaders of Air Products.
Right from day one you will work on exciting assignments.",30,4/2/21,recJobLoc_409d953a17532240,https://de.indeed.com/rc/clk?jk=409d953a17532240&fccid=e30562474c83900b&vjs=3,52.5167,13.3833,Berlin,primary,3644826,"In your final year or have recently graduated from a well-respected European university with a Masters in Chemical or Mechanical Engineering,Excellent communication &amp; initiative skills,Fluent English,Fully mobile and willing to relocate during the course of the programme, as our assignments are based throughout mainland Europe and the UK"
Lab Technician Metal Forming ‏ (m/f/x) ‏ (Chemical Engineers with Lab working experience wanted!),Henkel,Düsseldorf,Manages and carries out chemical analysis of products and raw materials related to Metal Forming technologies (like forging and casting lubricants).,12,4/2/21,recJobLoc_e3da1009fab6ece8,https://de.indeed.com/rc/clk?jk=e3da1009fab6ece8&fccid=79b1953a75a5cc1a&vjs=3,51.2311,6.7724,North Rhine-Westphalia,admin,619294,"Provides technical support including trouble shooting in the field of Metal Forming to Sales, Purchasing, Marketing and Production, both countrywide and internationally
,SAP documentation related to raw materials and product formulations
,Support of product development activities and projects,We are looking for a team-oriented, self-organized person with strong communication skills.
,Ideally the person has already some experience in the field of Metal Forming Products and / or Surface Treatment Technologies.
,Education / Training: Bachelor of chemistry.,Technician Job experience: 2 - 5 years (including job training)
,<b>Language skills: good German and advanced English, verbal and written</b>
,IT skills: Excel, Microsoft Office, statistical evaluation background,Job requires a short term assignment (6 months) at the Scheemda site in The Netherlands, after that the final job location is Dusseldorf, Germany."
Expert Plant and Chemical Process Safety (m/f/d),Bayer,Wuppertal,"University degree with chemical orientation.
Coordination of legal approval requirements and aspects of process safety for Bayer AG projects in production…",15,4/2/21,recJobLoc_571bc736c7d9144a,https://de.indeed.com/rc/clk?jk=571bc736c7d9144a&fccid=e08122e0e993cc32&vjs=3,51.2667,7.1833,North Rhine-Westphalia,minor,354382,"Identification, analysis and evaluation of potential risks and their impact on people, the environment and costs in process and plant safety,Guidance on the identification of operational and implementable countermeasures,Development, implementation and improvement of concepts for process and plant safety in close cooperation with Engineering and Bayer AG Enabling Functions,Responsibility for ensuring that measures are sufficiently effective and reliable to reduce potential risks to an acceptable level,Supervision of implementation of the agreed measures and of compliance with internal rules and external regulations of legislation on plant and process safety (PPS),Participation in process engineering issues/projects relating to plant and process safety and environmental protection, as well as implementation of requirements of the technical rules and regulations in operational practice and in environmental/occupational safety issues or in audits,Participation in training courses on process and plant safety,University degree with chemical orientation,Multiple years of practical work experience in the field of process and plant safety, preferably as a member (m/f/d) of the plant management team,Sound operational knowledge of processes, plants and workflows,Very good knowledge of the methods for hazard analysis of processes and plants (e.g. PAAG processes) through training as a PPS practitioner (m/f/d),Very good knowledge of national laws/regulations/regulations on environmental protection and technical law,High level of commitment and willingness to take initiative for continuous improvement,Willingness to question circumstances and drive change forward,Very good knowledge of English and good knowledge of German, both written and spoken"
Junior Process Engineer,Doosan Lentjes,Ratingen,"Completed technical university degree, preferably process engineering, chemical engineering, energy.
Senior Process Engineer – Focus on Water-Steam-Cycle.",25,4/2/21,recJobLoc_66ddc4ae929ed563,https://de.indeed.com/rc/clk?jk=66ddc4ae929ed563&fccid=cab9a2ad4f0249ac&vjs=3,51.3,6.85,North Rhine-Westphalia,,87297,"Senior Process Engineer – Focus on Water-Steam-Cycle
,Technical Project Manager,Technical Draughtsman
,Scheduler,Support and accompaniment of the digital optimization of the core and support processes,Definition of the technical concept to be followed and procedural design,Participation in HAZOP and SIL assessments,Support and accompaniment during order processing including commissioning support,Maintenance and continuous improvement of the design and standard templates,Securing the know-how by evaluating the operating results after the order processing,High IT affinity,First professional experience in process engineering for power plants,Experience with the Windows package,Confident demeanor and team player,Conscientious and independent task completion, as well as high level of commitment,General willingness to travel,Business fluent German and good English"
Internship in Project Management - New Innovation Center,Henkel,Düsseldorf,"Experience in a chemical laboratory, logistics and project management is an advantage.
HENKEL IS FOR THOSE WHO STEP UP.
Manage and support the moving process.",12,4/2/21,recJobLoc_022233b21865ca82,https://de.indeed.com/rc/clk?jk=022233b21865ca82&fccid=79b1953a75a5cc1a&vjs=3,51.2311,6.7724,North Rhine-Westphalia,admin,619294,"Manage and support the moving process,Set up operational processes for the new Innovation center,Support the high level of communication required between the lab users, senior management and project team during this phase of the project,Student who has successfully passed the bachelors degree in Engineering, Science or equivalent,Practical or international experience, e.g. by former internships or semester abroad, is beneficial,Experience in a chemical laboratory, logistics and project management is an advantage,Fluent English skills, German would be advantageous,Good communication skills including report writing and presentations is essential"
5 PhD positions in Molecular and Chemical Ecology and Evolution,Max Planck Institute for Chemical Ecology,Jena,"The overarching research topic is the use of molecular, chemical and neurobiological techniques to experimentally explore ecological interactions under natural…",8,4/2/21,recJobLoc_2466da90cbdc1cbf,https://de.indeed.com/rc/clk?jk=2466da90cbdc1cbf&fccid=0e5f7fe1c901f404&vjs=3,50.9272,11.5864,Thuringia,minor,111407,
